ville_id,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
19044,51,reims,REIMS,reims,Reims,R520,RMS,51100,454,51454,3,99,4,179992,187181,181500,3837,46.9,4.03333,49.25,1880,54739,40143,491555,74,137
31166,76,havre,LE HAVRE,le havre,Le Havre,L160,LHFR,76600-76610-76620,351,76351,2,98,4,175497,190924,178800,3737,46.95,0.133333,49.5,-2461,54999,716,492956,0,105
16124,42,saint-etienne,SAINT-ETIENNE,saint etienne,Saint-Étienne,S535,SNTTN,42000-42100-42230,218,42218,3,99,3,171260,180438,172700,2141,79.97,4.4,45.4333,2281,50482,42323,452602,422,1117
33677,83,toulon,TOULON,toulon,Toulon,T450,TLN,83000-83100-83200,137,83137,2,99,3,164532,160712,166700,3840,42.84,5.93333,43.1167,3993,47917,55550,430730,0,589
14505,38,grenoble,GRENOBLE,grenoble,Grenoble,G6514,KRNBL,38000-38100,185,38185,1,98,3,155637,153426,156700,8584,18.13,5.71667,45.1667,3766,50208,54335,451113,204,600
7233,21,dijon,DIJON,dijon,Dijon,D250,TJN,21000-21100,231,21231,2,99,2,151212,150138,151600,3741,40.41,5.01667,47.3167,3006,52581,50231,471923,220,410
18073,49,angers,ANGERS,angers,Angers,A5262,ANJRS,49000-49100,7,49007,1,98,3,147571,151322,148400,3455,42.7,-0.55,47.4667,-3213,52748,-3320,472822,12,64
36667,974,saint-denis,SAINT-DENIS,ste clotilde,Saint-Denis,S5352,SNTTNS,97490,411,97411,1,93,NULL,145022,131649,145022,1021,142,46.7107,1.71819,NULL,NULL,NULL,NULL,NULL,NULL
29483,72,le-mans,LE MANS,le mans,Le Mans,L520,LMNS,72000-72100,181,72181,3,99,3,142626,146064,143500,2700,52.81,0.2,48,-2377,53338,1149,480015,38,134
4421,13,aix-en-provence,AIX-EN-PROVENCE,aix en provence,Aix-en-Provence,A2516152,AKSNPRFNS,13080-13090-13100-13290-13540,1,13001,1,97,4,141438,134324,142700,760,186.08,5.43333,43.5333,3454,48364,52644,433140,73,501
11152,29,brest,BREST,brest,Brest,B623,BRST,29200,19,29019,1,99,4,141303,149649,142100,2854,49.51,-4.48333,48.4,-7581,53767,-42913,482324,0,103
28208,69,villeurbanne,VILLEURBANNE,villeurbanne,Villeurbanne,V4615,FLRBN,69100,266,69266,1,98,5,145150,124152,141100,9996,14.52,4.88333,45.7667,2825,50851,45246,454558,165,189
11336,30,nîmes,NIMES,nimes,Nîmes,N200,NMS,30000-30900,189,30189,2,99,3,142205,133406,140300,878,161.85,4.35,43.8333,2248,48708,42136,435013,21,215
34488,87,limoges,LIMOGES,limoges,Limoges,L520,LMJS,87000-87100-87280,85,87085,2,99,2,139150,133924,140100,1783,78.03,1.25,45.85,-1194,50927,11542,455004,209,431
25485,63,clermont-ferrand,CLERMONT-FERRAND,clermont ferrand,Clermont-Ferrand,C46531653,KLRMNTFRNT,63000-63100,113,63113,2,98,2,139860,137154,139000,3277,42.67,3.08333,45.7833,834,50866,30513,454647,321,602
14124,37,tours,TOURS,tours,Tours,T620,TRS,37000-37100-37200,261,37261,2,99,3,134817,132677,135500,3888,34.67,0.683333,47.3833,-1831,52659,4118,472334,44,109
32933,80,amiens,AMIENS,amiens,Amiens,A520,AMNS,80000-80080-80090,21,80021,2,99,2,133448,135449,134400,2698,49.46,2.3,49.9,-43,55436,21752,495331,14,106
21914,57,metz,METZ,metz,Metz,M320,MTS,57000-57050-57070,463,57463,9,99,2,120738,123704,122800,2878,41.94,6.16667,49.1333,4267,54578,61037,490711,162,256
9370,25,besancon,BESANCON,besancon,Besançon,B2525,BSNKN,25000,56,25056,1,99,2,116914,117691,117600,1797,65.05,6.03333,47.25,4094,52491,60117,471432,235,610
27144,66,perpignan,PERPIGNAN,perpignan,Perpignan,P6125,PRPKNN,66000-66100,136,66136,2,99,3,117419,105096,116700,1724,68.07,2.88333,42.6833,620,47442,25341,424151,8,95
